dest_pre,distance
KMIA,6654
KDFW,7868
SAEZ,1139
CYYZ,8618
LFPG,11677
MMMX,6597
SABE,1148
SKBO,4251
LIRF,11895
EGLL,11656
MPTO,4809
KATL,7590
SBGR,2616
SBGL,2936
SBFL,2219
LEMD,10723
SPJC,1329
YSSY,11343
KIAH,4053
SGAS,1572
SBFI,1797
SCTE,917
SCCI,2181
SCNT,2038
SCBA,1425
SCVD,725
SCQP,637
SCIE,428
SCSE,388
SCAT,681
SCCF,1225
SCFA,1106
SCDA,1431
SCAR,1673
SAME,196
SACO,660
SUMU,1367
SCPQ,1027
SCJO,827
KMCO,6964
KJFK,8239
SEGU,3600
MMUN,6290
MDPC,5785
KLAX,8988
NZAA,9655
SCIP,3760
SLLP,1896
SLVR,1965
SBCT,2272
SEQM,3812
SAZS,918
SAAR,968
SANT,945
YMML,11542
SEQU,5110
SANU,317
SAZN,750
SPSO,2272
SAWH,2467
EGYP,2374
SULS,1484
SLCB,1921
SARI,1814
KIAD,8073